time angle x y
10.000	-0.862	0.214	-0.183
10.033	-0.871	0.216	-0.182
10.066	-0.848	0.212	-0.187
10.100	-0.796	0.202	-0.198
10.133	-0.712	0.185	-0.214
10.166	-0.601	0.160	-0.233
10.200	-0.468	0.128	-0.252
10.233	-0.318	0.089	-0.269
10.266	-0.157	0.044	-0.281
10.300	0.010	-0.003	-0.285
10.333	0.176	-0.050	-0.283
10.366	0.334	-0.095	-0.273
10.400	0.480	-0.134	-0.258
10.433	0.608	-0.167	-0.240
10.467	0.715	-0.193	-0.222
10.500	0.795	-0.211	-0.207
10.533	0.846	-0.221	-0.196
10.567	0.867	-0.225	-0.191
10.600	0.857	-0.222	-0.193
10.633	0.819	-0.215	-0.201
10.667	0.749	-0.199	-0.214
10.700	0.654	-0.177	-0.231
10.733	0.537	-0.148	-0.248
10.767	0.401	-0.112	-0.264
10.800	0.253	-0.071	-0.276
10.833	0.095	-0.027	-0.283
10.867	-0.066	0.019	-0.282
10.900	-0.223	0.062	-0.275
10.933	-0.374	0.103	-0.263
10.967	-0.510	0.138	-0.247
11.000	-0.628	0.166	-0.229
11.033	-0.727	0.188	-0.212
11.067	-0.799	0.203	-0.198
11.100	-0.840	0.211	-0.189
11.133	-0.854	0.214	-0.186
11.167	-0.839	0.211	-0.190
11.200	-0.791	0.202	-0.200
11.233	-0.714	0.186	-0.215
11.267	-0.610	0.163	-0.233
11.300	-0.484	0.132	-0.251
11.334	-0.339	0.094	-0.268
11.367	-0.181	0.051	-0.279
11.400	-0.018	0.005	-0.284
11.434	0.146	-0.042	-0.283
11.467	0.304	-0.086	-0.274
11.500	0.449	-0.125	-0.260
11.534	0.580	-0.159	-0.243
11.567	0.689	-0.185	-0.225
11.600	0.772	-0.205	-0.210
11.634	0.826	-0.216	-0.199
11.667	0.852	-0.221	-0.193
11.700	0.847	-0.220	-0.194
11.734	0.813	-0.213	-0.201
11.767	0.749	-0.198	-0.213
11.800	0.658	-0.177	-0.229
11.834	0.544	-0.149	-0.246
11.867	0.413	-0.115	-0.262
11.900	0.269	-0.076	-0.275
11.934	0.115	-0.032	-0.282
11.967	-0.043	0.012	-0.283
12.000	-0.199	0.056	-0.277
12.034	-0.348	0.096	-0.266
12.067	-0.484	0.132	-0.251
12.100	-0.604	0.161	-0.234
12.145	-0.718	0.187	-0.215
12.178	-0.784	0.201	-0.202
12.212	-0.824	0.209	-0.194
12.245	-0.836	0.212	-0.191
12.278	-0.820	0.209	-0.195
12.312	-0.772	0.199	-0.205
12.345	-0.695	0.183	-0.219
12.378	-0.592	0.159	-0.237
12.412	-0.467	0.128	-0.255
12.445	-0.323	0.091	-0.271
12.478	-0.167	0.048	-0.282
12.512	-0.005	0.001	-0.286
12.545	0.158	-0.045	-0.284
12.578	0.313	-0.089	-0.274
12.612	0.456	-0.128	-0.260
12.645	0.581	-0.160	-0.243
12.678	0.685	-0.185	-0.226
12.712	0.765	-0.202	-0.211
12.745	0.815	-0.213	-0.201
12.778	0.839	-0.217	-0.195
12.812	0.830	-0.216	-0.197
12.845	0.793	-0.208	-0.205
12.878	0.730	-0.194	-0.217
12.912	0.640	-0.173	-0.232
12.945	0.528	-0.145	-0.249
12.978	0.397	-0.111	-0.265
13.012	0.253	-0.071	-0.276
13.045	0.100	-0.028	-0.283
13.079	-0.056	0.016	-0.284
13.112	-0.210	0.059	-0.278
13.145	-0.355	0.099	-0.267
13.179	-0.487	0.133	-0.252
13.212	-0.602	0.162	-0.235
13.245	-0.696	0.184	-0.220
13.279	-0.765	0.199	-0.207
13.312	-0.805	0.207	-0.199
13.345	-0.818	0.210	-0.197
13.379	-0.801	0.207	-0.200
13.412	-0.756	0.197	-0.209
13.445	-0.681	0.181	-0.223
13.479	-0.582	0.158	-0.240
13.512	-0.460	0.127	-0.256
13.545	-0.320	0.090	-0.271
13.579	-0.168	0.048	-0.282
13.612	-0.010	0.003	-0.286
13.645	0.150	-0.043	-0.284
13.679	0.301	-0.085	-0.275
13.712	0.442	-0.123	-0.261
13.745	0.566	-0.155	-0.244
13.779	0.668	-0.180	-0.228
13.812	0.746	-0.197	-0.213
13.845	0.795	-0.207	-0.204
13.879	0.816	-0.211	-0.199
13.912	0.811	-0.210	-0.200
13.945	0.776	-0.203	-0.207
13.979	0.714	-0.189	-0.218
14.012	0.626	-0.168	-0.233
14.046	0.517	-0.142	-0.249
14.079	0.388	-0.108	-0.264
14.112	0.247	-0.070	-0.276
14.146	0.097	-0.028	-0.283
14.179	-0.057	0.016	-0.284
14.212	-0.208	0.059	-0.279
14.246	-0.350	0.098	-0.268
14.279	-0.480	0.132	-0.254
14.312	-0.591	0.160	-0.239
14.346	-0.683	0.182	-0.224
14.379	-0.749	0.197	-0.212
14.412	-0.788	0.205	-0.204
