x	y	dx	dy
-0.625	24.209	0.002	0.001
-0.656	24.243	0.002	0.001
-0.664	24.276	0.002	0.001
-0.649	24.309	0.002	0.001
-0.610	24.343	0.002	0.001
-0.547	24.376	0.002	0.001
-0.464	24.409	0.002	0.001
-0.363	24.443	0.002	0.001
-0.249	24.476	0.002	0.001
-0.126	24.509	0.002	0.001
0.002	24.543	0.002	0.001
0.129	24.576	0.002	0.001
0.250	24.609	0.002	0.001
0.361	24.643	0.002	0.001
0.460	24.676	0.002	0.001
0.540	24.709	0.002	0.001
0.598	24.743	0.002	0.001
0.635	24.776	0.002	0.001
0.647	24.810	0.002	0.001
0.635	24.843	0.002	0.001
0.597	24.876	0.002	0.001
0.538	24.910	0.002	0.001
0.459	24.943	0.002	0.001
0.364	24.976	0.002	0.001
0.255	25.010	0.002	0.001
0.136	25.043	0.002	0.001
0.014	25.076	0.002	0.001
-0.110	25.110	0.002	0.001
-0.231	25.143	0.002	0.001
-0.342	25.176	0.002	0.001
-0.443	25.210	0.002	0.001
-0.526	25.243	0.002	0.001
-0.590	25.276	0.002	0.001
-0.632	25.310	0.002	0.001
-0.651	25.343	0.002	0.001
-0.650	25.376	0.002	0.001
-0.625	25.410	0.002	0.001
-0.578	25.443	0.002	0.001
-0.506	25.476	0.002	0.001
-0.417	25.510	0.002	0.001
-0.312	25.543	0.002	0.001
-0.195	25.576	0.002	0.001
-0.071	25.610	0.002	0.001
0.054	25.643	0.002	0.001
0.177	25.676	0.002	0.001
0.292	25.710	0.002	0.001
0.397	25.743	0.002	0.001
0.486	25.777	0.002	0.001
0.556	25.810	0.002	0.001
0.605	25.843	0.002	0.001
0.631	25.877	0.002	0.001
0.632	25.910	0.002	0.001
0.608	25.943	0.002	0.001
0.562	25.977	0.002	0.001
0.562	26.010	0.002	0.001
0.411	26.043	0.002	0.001
0.955	26.077	0.002	0.001
